약국수,약국명,대표전화,시도,도로명주소,Latitude,Longitude,지번주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
104,대우약국,042-256-1058,대전광역시,"대전광역시 중구 중앙로 125-1, (선화동)",36.3280838,127.4237861,대전광역시 중구 선화1동 66-3,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00
105,대웅약국,031-248-6700,경기도,경기도 수원시 장안구 경수대로 998 (송죽동),37.3058607,127.0026832,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,12:00~23:00,
106,대유약국,02-379-4415,서울특별시,"서울특별시 서대문구 모래내로 359, (홍은동)",37.5818166,126.9358604,서울특별시 서대문구 홍은2동 277-75,09:30~25:00,09:30~25:00,09:30~25:00,09:30~25:00,09:30~25:00,09:30~25:00,09:30~25:00,09:30~25:00
107,대일약국,02-591-4655,서울특별시,서울특별시 동작구 동작대로27길 22 (사당동),37.4876421,126.9806347,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,,
108,대풍약국,02-2252-3944,서울특별시,서울특별시 중구 동호로11길 43 (신당동),37.5533105,127.009042,,08:30~25:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,09:00~25:00,22:00~25:00,
109,대하약국,053-254-8164,대구광역시,대구광역시 중구 중앙대로 447-1 (향촌동),35.8740504,128.5942615,,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~23:30,09:00~22:30
110,대학당약국,031-262-5666,경기도,"경기도 용인시 수지구 풍덕천로 155, 수지마을동보아파트 상가동 106호 (풍덕천동)",37.3256226,127.0979445,,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,
111,대학약국,031-792-2505,경기도,경기도 하남시 하남대로739번길 80,37.5365642,127.2090282,경기도 하남시 신장1동 436-1,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
112,대한약국,042-222-6250,대전광역시,"대전광역시 중구 중앙로 129, (선화동)",36.3281625,127.4240195,대전광역시 중구 선화동 65-2,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,12:00~23:00,12:00~23:00
113,대형약국,031-243-7726,경기도,경기도 수원시 장안구 장안로 270-3,37.3060654,126.991434,경기도 수원시 장안구 정자1동 528-28,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,,08:00~22:00
114,대황약국,032-884-4762,인천광역시,인천광역시 중구 제물량로24번길 6-34 (신흥동3가),37.4617359,126.6379687,,07:00~30:00,07:00~30:00,07:00~30:00,07:00~30:00,07:00~30:00,07:00~30:00,07:00~30:00,07:30~23:00
115,더샾스타시티약국,02-2024-1311,서울특별시,서울특별시 광진구 아차산로 272 (자양동),37.5324005,127.0715809,서울특별시 광진구 자양동 227-7 더샵스타시티,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
116,더밝은약국,02-2281-7923,서울특별시,"서울특별시 성동구 마조로9길 15, 1층 (행당동)",37.5611276,127.0397537,,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,12:00~22:00,12:00~22:00,12:00~22:00
117,더슬림한약국,062-373-0059,광주광역시,광주광역시 서구 치평로 32 1층,35.1501179,126.847692,광주광역시 서구 치평동 1178 1층,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
118,더클래식약국,02-455-4565,서울특별시,"서울특별시 광진구 능동로 90, 1층 104-2호 (자양동, 더클래식500)",37.5387765,127.0710831,,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00
119,덕양메디칼약국,031-938-1726,경기도,"경기도 고양시 덕양구 백양로 51, 104호 (화정동)",37.6302677,126.8332319,,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
120,도마태평양약국,042-528-7774,대전광역시,"대전광역시 서구 배재로 182-1, 1층 (도마동)",36.3247378,127.3705833,,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,18:00~25:00,09:00~25:00
121,도봉온누리약국,070-8835-7700,서울특별시,"서울특별시 도봉구 해등로 158, 1층 (쌍문동)",37.6570123,127.0388964,,09:00~18:30,09:00~18:30,09:00~18:30,09:00~25:00,09:00~25:00,09:00~13:30,22:00~25:00,
122,도원약국,02-2252-3942,서울특별시,"서울특별시 성동구 장터길 45-1, (금호동3가)",37.5483577,127.0210592,서울특별시 성동구 금호동3가 806,09:00~23:59,09:00~23:59,09:00~23:59,09:00~23:59,09:00~23:59,09:00~23:59,20:00~23:30,
123,동광약국,02-534-7575,서울특별시,서울특별시 동작구 동작대로 129 (사당동),37.4882573,126.9818578,,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,08:00~22:00
124,동보약국,02-2678-0362,서울특별시,서울특별시 영등포구 영중로 22 (영등포동3가),37.5176229,126.9088613,서울특별시 영등포구 영등포동3가 8 남서울빌딩,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:30~22:00,,
125,동산약국,054-783-2273,경상북도,경상북도 울진군 울진읍 읍내8길 14,36.9946447,129.4021087,경상북도 울진군 울진읍 읍내리 518-3 동산약국,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,09:00~23:00,
126,동성약국,031-952-3224,경기도,"경기도 파주시 문산읍 문산로40번길 10-10, 1층",37.8570159,126.7831395,,06:00~22:30,06:00~22:30,06:00~22:30,06:00~22:30,06:00~22:30,06:00~22:30,06:00~22:30,06:00~22:30
127,동신약국,051-582-5418,부산광역시,"부산광역시 금정구 금강로 180, (장전동)",35.2245688,129.0821647,부산광역시 금정구 장전3동 599-24,11:00~24:00,11:00~24:00,14:00~24:00,11:00~24:00,11:00~24:00,21:00~24:00,21:00~24:00,21:00~24:00
128,동아약국,02-2214-7937,서울특별시,"서울특별시 동대문구 서울시립대로 31, 102-119호 (전농동, 동아아파트)",37.574271,127.045584,,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,10:00~22:00,
129,동암프라자약국,070-4064-8642,인천광역시,"인천광역시 부평구 열우물로 50, (십정동)",37.4725587,126.7008282,인천광역시 부평구 십정2동 402-8,09:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~22:00,09:00~22:00
130,동읍용잠약국,055-292-7483,경상남도,경상남도 창원시 의창구 동읍 용잠로 28 (동읍),35.2792975,128.687392,,,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,09:00~22:30
131,동의세란약국,031-319-2539,경기도,"경기도 시흥시 봉우재로 10 (정왕동, 세란약국)",37.3441014,126.7430934,,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,11:00~25:00,11:00~25:00
132,동이약국,042-673-0108,대전광역시,"대전광역시 대덕구 대전로 1123, (오정동)",36.3547288,127.4148034,대전광역시 대덕구 오정동 275-15,07:00~25:00,07:00~25:00,07:00~25:00,07:00~25:00,07:00~25:00,07:00~25:00,07:00~25:00,07:00~25:00
133,동인당약국,052-286-8823,울산광역시,울산광역시 북구 신답로 26 (상안동),35.6301104,129.3448376,울산광역시 북구 상안동 322-9 홈플러스,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
134,동현약국,02-472-7722,서울특별시,"서울특별시 강동구 양재대로127길 19, (천호동)",37.5452118,127.14157,서울특별시 강동구 천호1동 43-44,06:30~23:30,06:30~23:30,06:30~23:30,06:30~23:30,06:30~23:30,07:00~23:30,07:00~23:30,07:00~23:30
135,두꺼비약국,054-247-2455,경상북도,경상북도 포항시 북구 불종로 57 (상원동),36.0387177,129.3658494,경상북도 포항시 북구 상원동 448-7,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~24:00
136,드림약국,054-435-8577,경상북도,경상북도 김천시 혁신4로 3 (율곡동),36.1398393,128.1135947,,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
137,드림팜약국,031-979-7210,경기도,경기도 고양시 덕양구 백양로 79 이마트 내 1층,37.632663,126.8333985,경기도 고양시 덕양구 화정동 976 이마트 이마트 내 1층,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
138,따뜻한약국,051-505-9763,부산광역시,부산광역시 동래구 아시아드대로 226,35.2038782,129.0672885,부산광역시 동래구 온천3동 1412-7,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
139,따뜻한약국,031-904-0642,경기도,"경기도 고양시 일산동구 중앙로1275번길 64, 2(일부)층 (장항동, 홈플러스 일산점)",37.6590106,126.7688507,,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:00,10:00~22:30,10:00~22:30,
140,라온약국,062-946-0325,광주광역시,광주광역시 광산구 송도로 160 (도산동),35.1336421,126.7953893,,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00
141,랄랄라약국,031-258-3448,경기도,"경기도 수원시 팔달구 덕영대로 924, 수원역 분당선지하상가 2호 (매산로1가)",37.2656777,127.0003136,,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
142,롱약국,070-8098-4603,서울특별시,"서울특별시 마포구 양화로 지하 55, 합정역 B1 238-105호 (서교동)",37.5444469,126.916317,,07:30~23:00,07:30~23:00,07:30~23:00,07:30~23:00,07:30~23:00,09:00~23:00,10:00~22:30,09:00~23:00
143,링컨약국,031-291-1501,경기도,경기도 수원시 권선구 금호로 213 (구운동),37.2752892,126.973419,,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,,
144,마더스약국,053-585-6168,대구광역시,대구광역시 달서구 이곡동로 24,35.8533378,128.5101866,대구광역시 달서구 이곡동 1254,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
145,마더스약국,041-578-7845,충청남도,"충청남도 천안시 서북구 충무로 187 (쌍용동, E 마트)",36.7958771,127.127097,,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
146,마산온누리약국,055-255-0636,경상남도,경상남도 창원시 마산회원구 삼호로 56 (양덕동),35.2226108,128.5857659,경상남도 창원시 마산회원구 양덕동 151-1 삼성홈플러스,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
147,마장백화점약국,02-962-1161,서울특별시,"서울특별시 동대문구 고산자로 410, 1층 (용두동)",37.576145,127.0387254,서울특별시 동대문구 용두동 27-4,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,08:00~23:00,08:00~23:00
148,마트약국,031-207-1278,경기도,"경기도 수원시 권선구 경수대로 270 (권선동, 이마트)",37.2497718,127.0217399,,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~22:30
149,마트온누리약국,02-2651-3467,서울특별시,서울특별시 양천구 오목로 299,37.5257763,126.8703272,서울특별시 양천구 목1동 962,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
150,마트종로약국,031-651-9631,경기도,경기도 평택시 영신로 29,37.0214562,127.0755828,경기도 평택시 지제동 50 이마트 이마트 내,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:30~23:30,,
151,만종대형약국,033-731-1365,강원도,강원도 원주시 호저면 원문로 631,37.3557168,127.9031926,,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
152,맑은약국,02-2165-8210,서울특별시,서울특별시 영등포구 당산로 42,37.5181712,126.8959156,서울특별시 영등포구 문래동3가 55-3,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:00
153,맘이편한약국,02-888-8848,서울특별시,"서울특별시 관악구 신림로 357, 1층 (신림동)",37.4861448,126.9291184,,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
154,망원시장약국,02-790-7527,서울특별시,"서울특별시 마포구 월드컵로13길 56, 1층 (망원동)",37.5553377,126.9070282,,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,10:00~22:30,08:30~22:30,10:00~22:30
155,매산약국,031-207-6122,경기도,"경기도 수원시 팔달구 덕영대로 923-1 (매산로1가, 새수원 빌딩)",37.2661275,127.0016423,,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,,,11:00~21:00
156,매일여는약국,02-2132-8365,서울특별시,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 B1094호 (상암동)",37.579396,126.8897942,,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
157,매일여는약국,02-2061-3650,서울특별시,서울특별시 양천구 목동동로 233-1 (목동),37.5274468,126.8715522,,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
158,매일여는온누리약국,02-3432-0365,서울특별시,"서울특별시 송파구 백제고분로 187, 1층 103,104호 (잠실동, 파크인수)",37.5046802,127.0877732,,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
159,매일여는온누리약국,032-435-1777,인천광역시,"인천광역시 남동구 예술로 198, CGV 홈플러스 (구월동)",37.4518773,126.7018608,,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:00,10:00~22:00,
160,메가약국,051-622-5458,부산광역시,"부산광역시 수영구 황령대로 521 1층(남천동, 메가마트남천점)",35.1373526,129.1111015,"부산광역시 수영구 남천동 545-2 메가마트 남천점 1층(남천동, 메가마트남천점)",10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00
161,메디칼세계로약국,031-657-8078,경기도,경기도 평택시 중앙로 9-1 (통복동),36.9955857,127.0845263,,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,09:00~22:00,08:30~23:00
162,메디칼큰온누리약국,055-283-0990,경상남도,"경상남도 창원시 성산구 원이대로 664, 창원메디컬 (상남동)",35.2238063,128.6859384,,07:30~23:00,07:30~23:00,07:30~23:00,07:30~23:00,07:30~23:00,07:30~23:00,09:00~23:00,09:00~23:00
163,메디팜365약국,031-552-7071,경기도,"경기도 구리시 검배로6번길 3 , 1층 (수택동)",37.6001801,127.1414417,"경기도 구리시 수택동 405-1 , 1층",10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,09:00~25:00,10:00~25:00,
164,메디팜동수원약국,031-232-8075,경기도,"경기도 수원시 팔달구 효원로 257 4층(인계동, 동수원홈플러스) (인계동)",37.2627412,127.0301178,"경기도 수원시 팔달구 인계동 1045 홈플러스동수원점 4층(인계동, 동수원홈플러스)",10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~24:00,10:00~23:00,
165,메디팜신정교약국,02-2649-8275,서울특별시,"서울특별시 양천구 신목로 36, 102호 (신정동, 대보빌딩)",37.5188009,126.8737695,서울특별시 양천구 신정동 128-105,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,22:00~25:00,22:00~25:00
166,메디팜엄마손약국,055-263-7743,경상남도,경상남도 창원시 성산구 원이대로580번길 16 (중앙동),35.2271052,128.6771821,경상남도 창원시 성산구 중앙동 70-9 성한빌딩,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,19:00~24:00,19:00~24:00
167,메디팜엔비약국,02-811-7723,서울특별시,"서울특별시 동작구 노량진로 152, . 1층 (노량진동)",37.5134039,126.9427066,,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,13:00~22:00,08:30~22:30
168,메디팜우리들약국,031-201-8298,경기도,"경기도 수원시 영통구 봉영로 1576, 2층(영통동,홈플러스)",37.251781,127.0725948,경기도 수원시 영통구 영통동 994-2,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,
169,메디팜큰사랑약국,043-294-8088,충청북도,충청북도 청주시 상당구 월평로 182 (용암동),36.6100113,127.5043764,충청북도 청주시 상당구 용암동 1595 최동석 소아과 (용암동),22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
170,메디팜한대약국,031-438-4181,경기도,"경기도 안산시 상록구 광덕1로 376, (이동)",37.3078722,126.8514632,경기도 안산시 상록구 이동 716-9,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30
171,메디팜해성약국,032-613-5028,경기도,"경기도 부천시 조마루로386번길 61, (원미동)",37.4951105,126.7860417,경기도 부천시 원미구 원미1동 90-8,09:30~23:30,09:30~23:30,09:30~23:30,09:30~23:30,09:30~23:30,09:00~23:30,10:00~23:30,09:00~23:30
172,면목백화점약국,02-2207-4636,서울특별시,서울특별시 중랑구 용마산로 328 (면목동),37.5810218,127.0935553,,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,10:00~21:00,10:00~21:00
173,명일마트종로약국,02-428-7845,서울특별시,"서울특별시 강동구 고덕로 276, 지하1층 (명일동, 이마트명일점)",37.5546516,127.1557517,,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,,10:00~22:30
174,모범약국,031-263-7128,경기도,"경기도 용인시 수지구 수지로 203, E 마트 지하1층 (신봉동)",37.3196884,127.0833256,,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,,
175,목사골한국약국,061-337-9449,전라남도,전라남도 나주시 나주로 204 (성북동),35.0340059,126.718289,전라남도 나주시 나주로 204(성북동),08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:30~14:00,,
176,문학모범약국,032-424-3120,인천광역시,"인천광역시 미추홀구 매소홀로 578, (문학동)",37.4382149,126.6862205,인천광역시 남구 문학동 380-1,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,09:00~22:30,17:00~22:30,08:00~23:00
177,미래팜대학약국,031-717-7570,경기도,"경기도 성남시 분당구 돌마로 46, 101호 (구미동, 광천프라자)",37.3496747,127.1069631,,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:30~21:00,09:30~22:00
178,미소약국,053-657-2089,대구광역시,"대구광역시 남구 월배로 468, 한영유니죤빌딩 105호 (대명동)",35.8354591,128.5565155,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~18:00,09:00~18:00,
179,미소지음약국,062-371-0914,광주광역시,"광주광역시 서구 화운로 129, 1층 101호 (화정동)",35.1505159,126.8777022,,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30
180,민준약국,031-246-1288,경기도,"경기도 수원시 팔달구 팔달문로163번길 49, 1층 (우만동)",37.284868,127.0321795,,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30
181,민트약국,063-000-0000,전라북도,전라북도 전주시 덕진구 명륜4길 21(덕진동1가),35.8438525,127.1269731,,10:30~22:30,10:30~22:30,10:30~22:30,10:30~22:30,10:30~22:30,10:30~22:30,10:30~22:30,10:30~22:30
182,믿음약국,02-888-2104,서울특별시,서울특별시 관악구 봉천로 534,37.4786512,126.956964,서울특별시 관악구 낙성대동 1612-52,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,,09:30~22:30
183,밀성메디칼약국,055-356-4950,경상남도,경상남도 밀양시 중앙로 381,35.4956595,128.7511443,경상남도 밀양시 내이동 726~3,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
184,바로약국,063-000-0000,전라북도,"전라북도 전주시 완산구 홍산중앙로 20, 1층 103호 (효자동3가)",35.8153395,127.1093788,,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~24:00,09:00~24:00,14:00~20:00,14:00~20:00
185,바른손약국,032-343-4217,경기도,경기도 부천시 경인로 508 (괴안동),37.4840352,126.8118559,경기도 부천시 괴안동 114-6,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30
186,반포프라자약국,02-549-3668,서울특별시,"서울특별시 서초구 신반포로 329, 1층 5호 (잠원동)",37.5107685,127.0194906,서울특별시 서초구 잠원동 40-9,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,,09:00~22:30
187,밝은365약국,042-322-4560,대전광역시,"대전광역시 서구 계룡로 582, 1층 (괴정동)",36.3416899,127.3857822,,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00
188,밝은약국,043-262-9957,충청북도,"충청북도 청주시 흥덕구 사운로 254, 1층 (운천동, 손범수내과소아과의원)",36.6597931,127.4660306,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
189,밝은약국,042-341-4560,대전광역시,"대전광역시 서구 관저동로105번길 8, 1층 (관저동)",36.3017154,127.3401702,,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
190,밝은온누리약국,031-732-0456,경기도,"경기도 성남시 중원구 금상로 6, 1층 (상대원동)",37.4367376,127.158825,,09:00~21:00,09:00~21:00,09:00~21:00,09:00~23:00,09:00~21:00,09:00~21:00,,09:00~21:00
191,밝은온누리약국,064-762-1192,제주특별자치도,제주특별자치도 서귀포시 일주동로 8648-3 (동홍동),33.2540969,126.5644997,,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,18:00~23:00,18:00~23:00,18:00~23:00
192,백세약국,031-575-7766,경기도,"경기도 남양주시 오남읍 진건오남로 629-1, 진주상가 140호 (오남읍)",37.6892317,127.2117114,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
193,백세약국,02-3421-7015,서울특별시,"서울특별시 중랑구 신내로 82, 1층 109호 (신내동, 금강빌딩)",37.6066393,127.0955549,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00
194,백운약국,061-655-2999,전라남도,전라남도 여수시 여서1로 52 (여서동),34.7521419,127.7036448,전라남도 여수시 여서동 228,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,08:30~24:00
195,백제약국,032-655-1145,경기도,"경기도 부천시 부천로10번길 9, 1층 (심곡동)",37.4851822,126.7834299,경기도 부천시 원미구 심곡동 170-8,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,10:00~22:00,10:00~22:00
196,백제약국,032-764-5747,인천광역시,"인천광역시 동구 화수로 18, 동부센트레빌 상가 103호 (송현동)",37.4821602,126.6353888,인천광역시 동구 송현동 66-26,09:00~21:30,09:00~21:30,09:00~25:00,09:00~21:30,09:00~21:30,09:00~21:30,13:30~21:30,13:30~21:30
197,백화점약국,02-994-1282,서울특별시,"서울특별시 강북구 도봉로96길 11, 1층 (번동)",37.6405569,127.0295544,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~21:00,,09:00~21:00
198,백화점약국,031-407-6077,경기도,"경기도 안산시 상록구 석호로 292, 1층 (본오동)",37.2933027,126.8631086,경기도 안산시 상록구 본오동 870,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,08:00~23:00,09:00~22:00,09:00~21:00
199,베스트소망약국,031-943-2729,경기도,"경기도 파주시 새꽃로 62, 107호 (금촌동)",37.7554416,126.7689259,,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
200,베스트약국,02-569-8968,서울특별시,서울특별시 강남구 도곡로 423,37.4977707,127.0567615,서울특별시 강남구 대치4동 939-28,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,15:00~19:00,
201,별장약국,02-807-6360,서울특별시,"서울특별시 금천구 금하로24길 40, (시흥동)",37.4491259,126.9082092,서울특별시 금천구 시흥5동 918-20,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00
202,보건약국,031-449-9793,경기도,경기도 안양시 만안구 안양로314번길 26 (안양동),37.4006817,126.9218514,,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,09:00~22:00,09:30~22:30,09:00~22:00
203,보령약국,041-631-6797,충청남도,충청남도 홍성군 홍성읍 조양로 220-10,36.6005358,126.6617768,,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
204,보룡약국,031-886-5147,경기도,"경기도 여주시 세종로 77, 1층 (홍문동)",37.2909402,127.6354019,,09:30~22:30,09:30~22:30,08:00~21:30,09:30~22:30,09:30~22:30,08:30~22:30,09:00~22:30,
205,보림약국,02-2248-2082,서울특별시,서울특별시 동대문구 장한로 115 (장안동),37.5708961,127.0705258,,14:00~26:00,14:00~26:00,14:00~26:00,14:00~26:00,14:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00
206,보명당약국,042-255-3169,대전광역시,대전광역시 중구 대종로 313,36.3136241,127.4341488,대전광역시 중구 부사동 129-1,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,09:00~23:00,13:00~23:00
207,보명당한약국,054-855-3358,경상북도,경상북도 안동시 광명로 161,36.5622524,128.7007758,경상북도 안동시 옥동 616번지 10호,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~18:00,10:00~23:00
